rank,full_name,team,injury_status,position,age,points,avg_adp,trend,KeepTradeCut,90D Peak
509,Odell Beckham,,,WR,32,10,0,0,0,
511,Miles Boykin,SEA,,WR,28,0,0,0,0,
512,Mike White,BUF,,QB,29,1.12,0,0,0,
517,Marquise Goodwin,,,WR,33,0,149,0,0,
518,Malik Davis,DAL,,RB,26,0,0,0,0,
522,Kyle Philips,PHI,,WR,25,0,0,0,0,
524,Kevin Harris,,,RB,24,0,0,0,0,
526,Kene Nwangwu,NYJ,IR,RB,26,7,0,0,0,
530,Josh Doctson,,,WR,29,0,0,0,0,
532,Jimmy Garoppolo,LA,,QB,33,20.86,53,0,0,
533,Jerick McKinnon,,,RB,32,0,0,0,0,
536,Jaren Hall,SEA,,QB,26,0,0,0,0,
537,Jamison Crowder,WAS,,WR,31,21.7,0,0,0,
539,Jamal Agnew,,,WR,29,0,0,0,0,
540,Jalen Guyton,,,WR,27,0,0,0,0,
541,Jacob Harris,,,WR,27,0,0,0,0,
542,Hunter Renfrow,,,WR,28,0,0,0,0,
543,Gary Brightwell,CIN,,RB,26,0,0,0,0,
544,Ezekiel Elliott,,,RB,29,51.5,93,0,0,
545,Charlie Jones,CIN,Questionable,WR,26,5,0,0,0,
547,Eno Benjamin,,,RB,25,0,0,0,0,
549,Donald Parham,DEN,,TE,27,0,76,0,0,
551,Ameer Abdullah,,Questionable,RB,31,105.2,121,0,0,
554,Denzel Mims,,,WR,26,0,0,0,0,
555,Deneric Prince,,,RB,24,0,0,0,0,
556,Dee Eskridge,MIA,Questionable,WR,27,5.9,0,0,0,
557,DeAndre Carter,CHI,IR,WR,31,9.7,0,0,0,
560,Danny Gray,PHI,,WR,25,0,0,0,0,
561,Dalvin Cook,DAL,,RB,29,3.5,0,0,0,
565,Chase Claypool,,Questionable,WR,26,0,0,0,0,
567,Braxton Berrios,MIA,IR,WR,29,0,0,0,0,
568,Boston Scott,,,RB,29,0,0,0,0,
569,Auden Tate,,,WR,26,0,0,0,0,
570,Anthony McFarland,,,RB,25,0,110,0,0,
571,Amari Rodgers,,,WR,24,0,0,0,0,
573,Albert Okwuegbunam,IND,,TE,26,0,0,0,0,
587,Will Mallory,IND,,TE,25,4.9,0,0,0,
588,D'Ernest Johnson,,,RB,29,29.9,0,0,0,
589,Deven Thompkins,,,WR,25,4.7,0,0,0,
590,DJ Turner,,Questionable,WR,28,39.1,0,0,0,
591,Gerald Everett,,,TE,30,7.6,0,0,0,
592,Justin Shorter,LV,,WR,25,0,0,0,0,low
593,Ashton Dulin,IND,,WR,28,18.2,142,0,0,
594,Jamaal Williams,,,RB,29,32.6,0,0,0,
595,Adam Trautman,DEN,,TE,28,37.3,0,-70700,0,
596,Brandon Powell,MIN,,WR,29,10.6,0,0,0,
597,Bryce Ford-Wheaton,NYG,,WR,24,6,0,0,0,
598,Cameron Latu,PHI,,TE,24,0,0,0,0,
599,Carson Wentz,KC,,QB,32,4.72,0,0,0,
600,Andy Dalton,CAR,,QB,37,64.96,58,-69700,0,
601,Chase Edmonds,TB,,RB,28,0,0,0,0,
602,Bailey Zappe,KC,,QB,26,9,0,-69000,0,
603,Clayton Tune,ARI,,QB,25,-2.08,0,0,0,
604,Cordarrelle Patterson,PIT,,RB,33,31.5,0,0,0,
605,Charlie Kolar,BAL,Questionable,TE,26,23.8,0,-55200,0,
606,Cooper Rush,BAL,,QB,31,114.56,64,-76300,0,
607,David Moore,CAR,,WR,30,69.1,0,0,0,
